Iniciativa,Tipo,Estagio,Âmbito,Periodicidade,Estado,Município,latitude,longitude
Rota Do Queijo E Do Azeite,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Outra,MG,Bocaina de Minas,-22.1697,-44.3972
Rota Do Queijo E Do Azeite,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Outra,MG,Aiuruoca,-21.9736,-44.6042
Festival Monjopino Cachaça E Poesia,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,PE,Igarassu,-7.828810000000001,-34.9013
Café Colonial Organico,Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Mensal,SC,Lajeado Grande,-26.8576,-52.5648
Plantas Alimentícias Ñ Convencional,Outros - Seres e Sabores;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Outra,SC,Chapecó,-27.0754,-52.9808
Restaurant Week,Evento / Festival;Projeto Promocional;Projeto Social;Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Mensal,SP,São Paulo,-23.5329,-46.6395
Rota Gastronômica Sabores Do Pampa,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Internacional,Permanente,RS,Porto Alegre,-30.0318,-51.2065
Roteiro De Ecogastronomia,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SC,,-27.45,-50.95
Restaurante E Lancheria,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,RS,Três Arroios,-27.5003,-52.1448
Gastronomia,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,PR,Campo Magro,-25.3687,-49.4501
Gastronomia No Interior,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Permanente,SP,Tietê,-22.509,-48.5597
Roteiro Gastronômico,Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,MG,Cássia,-20.5831,-46.9201
Festival Internacional De Jazz E Bossa De Santa Teresa - Santajazz.,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,ES,Vila Velha,-20.3417,-40.2875
Vitoriaexpovinhos - Salão Internacional Do Vinho De Vitória,Outros - Feira de negocios;,Consolidada (geralmente com mais de 2 anos),Internacional,Anual,ES,Vila Velha,-20.3417,-40.2875
Beer Blues - Festival Capixaba De Cervejas Artesanais,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,ES,Vila Velha,-20.3417,-40.2875
Roteiro Do Milho,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,Apiaí,-24.5108,-48.8443
Roteiro Do Milho,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,Capão Bonito,-24.0113,-48.3482
Roteiro Do Milho,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,Guapiara,-24.1892,-48.5295
Roteiro Do Milho,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,Itapetininga,-23.5886,-48.0483
Roteiro Do Milho,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,Itapeva,-23.9788,-48.8764
Roteiro Do Milho,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,Ribeirão Branco,-24.2206,-48.7635
Roteiro Do Milho,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,Ribeirão Grande,-24.1011,-48.3679
Roteiro Do Milho,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,São Miguel Arcanjo,-23.8782,-47.9935
Rojão Do Balaio,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,Ribeirão Grande,-24.1011,-48.3679
Degusta Festival Gastronomico De Sao Lourenço,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,MG,São Lourenço,-22.1166,-45.0506
Degusta Festival Gastronomico De Sao Lourenço,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,MG,Carmo de Minas,-22.1204,-45.1307
Degusta Festival Gastronomico De Sao Lourenço,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,MG,Caxambu,-21.9753,-44.9319
Degusta Festival Gastronomico De Sao Lourenço,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,MG,Soledade de Minas,-22.0554,-45.0464
Degusta Festival Gastronomico De Sao Lourenço,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,MG,Maria da Fé,-22.3044,-45.3773
Degusta Festival Gastronomico De Sao Lourenço,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,MG,Baependi,-21.956999999999997,-44.8874
