Iniciativa,Tipo,Estagio,Âmbito,Periodicidade,Estado,Município,latitude,longitude
Chocolate Com Cultura,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Permanente,SC,Peritiba,-27.3754,-51.9018
Chocolate Com Cultura,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Permanente,SC,Itá,-27.2907,-52.3212
Chocolate Com Cultura,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Permanente,SC,Piratuba,-27.4242,-51.7668
Chocolate Com Cultura,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Permanente,PR,Rio Negro,-26.095,-49.7982
Festival Mel Viola E Cachaça,Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Anual,SP,Iporanga,-24.5847,-48.5971
Alimenta Ce,Evento / Festival;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,CE,Fortaleza,-3.71664,-38.5423
Food Is Art,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,RS,Porto Alegre,-30.0318,-51.2065
Rio Wine And Food Festival,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Anual,RJ,Rio de Janeiro,-22.9129,-43.2003
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,BA,Itamaraju,-17.0378,-39.5386
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,BA,Prado,-17.3364,-39.2227
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,BA,Teixeira de Freitas,-17.5399,-39.74
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,BA,Alcobaça,-17.5195,-39.2036
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,BA,Itabuna,-14.7876,-39.2781
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,BA,Itabela,-16.5732,-39.5593
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,BA,Eunápolis,-16.3715,-39.5821
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Nanuque,-17.8481,-40.3533
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Carlos Chagas,-17.6973,-40.7723
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Teófilo Otoni,-17.8595,-41.5087
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Governador Valadares,-18.8545,-41.9555
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,BA,Mucuri,-18.0754,-39.5565
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,ES,São Mateus,-18.7214,-39.8579
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,ES,Linhares,-19.3946,-40.0643
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,ES,Vitória,-20.3155,-40.3128
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,ES,Colatina,-19.5493,-40.6269
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,ES,Pedro Canário,-18.3004,-39.9574
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,BA,Itanhém,-17.1642,-40.3321
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,BA,Medeiros Neto,-17.3707,-40.2238
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,BA,Caravelas,-17.7268,-39.2597
Ita Fest Gourmet,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,BA,Nova Viçosa,-17.8926,-39.3743
Secon- Semana Da Consciêcia Negra De Coronel Xavier Chaves,Evento / Festival;Projeto Social;Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Coronel Xavier Chaves,-21.0277,-44.2206
Patrimônios Do Comer,Evento / Festival;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,SP,São Paulo,-23.5329,-46.6395
Haensch Rock,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,SC,Joinville,-26.3045,-48.8487
Festival Craft Beer,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Joinville,-26.3045,-48.8487
Festival Craft Beer,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Itajaí,-26.9101,-48.6705
Festival Craft Beer,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Florianópolis,-27.5945,-48.5477
Festival Gastronômico Sabores Do Prata,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,MG,São Domingos do Prata,-19.8678,-42.971000000000004
Festival De Gastronomia Sabores Do Mar,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,SC,Laguna,-28.4843,-48.7772
Dia Da Imigração Italiana,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,SC,Concórdia,-27.2335,-52.026
Queima Do Alho Brodowski Sp,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,SP,Brodowski,-20.9845,-47.6572
Aracaju Food Tour,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,SE,Aracaju,-10.9091,-37.0677
Caminho Dos Cafés Das Mulheres - Norte Pioneiro/ Pr,Projeto de Qualificação;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - Turismo Rural/ Turismo de Experiência;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Permanente,PR,Pinhalão,-23.7982,-50.0536
Mostras Gastronômicas,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,SC,Florianópolis,-27.5945,-48.5477
"Festival De Gastronomia Rural Do Município De Itapecerica E Festival Gastronômico Prato Da Casa, Promovido Nós Municípios De Carmo Do Cajuru E De Divinópolis.",Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,MG,Itapecerica,-20.4704,-45.126999999999995
"Festival De Gastronomia Rural Do Município De Itapecerica E Festival Gastronômico Prato Da Casa, Promovido Nós Municípios De Carmo Do Cajuru E De Divinópolis.",Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,MG,Divinópolis,-20.1446,-44.8912
"Festival De Gastronomia Rural Do Município De Itapecerica E Festival Gastronômico Prato Da Casa, Promovido Nós Municípios De Carmo Do Cajuru E De Divinópolis.",Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,MG,Carmo do Cajuru,-20.1912,-44.7664
"Festival De Gastronomia Rural Do Município De Itapecerica E Festival Gastronômico Prato Da Casa, Promovido Nós Municípios De Carmo Do Cajuru E De Divinópolis.",Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,MG,Abadia dos Dourados,-18.4831,-47.3916
Seminário E Festival Gastronômico,Evento / Festival;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Abaeté,-19.1551,-45.4444
Seminário E Festival Gastronômico,Evento / Festival;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Arapuá,-19.0268,-46.1484
Seminário E Festival Gastronômico,Evento / Festival;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Cedro do Abaeté,-19.1458,-45.711999999999996
Seminário E Festival Gastronômico,Evento / Festival;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Estrela do Indaiá,-19.5169,-45.7859
Seminário E Festival Gastronômico,Evento / Festival;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Matutina,-19.2179,-45.9664
Seminário E Festival Gastronômico,Evento / Festival;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Morada Nova de Minas,-18.5998,-45.3584
Seminário E Festival Gastronômico,Evento / Festival;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,São Gonçalo do Abaeté,-18.3315,-45.8265
Seminário E Festival Gastronômico,Evento / Festival;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Serra da Saudade,-19.4447,-45.795
Seminário E Festival Gastronômico,Evento / Festival;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Tiros,-19.0037,-45.9626
Seminário E Festival Gastronômico,Evento / Festival;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Três Marias,-18.2048,-45.2473
Seminário E Festival Gastronômico,Evento / Festival;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Varjão de Minas,-18.3741,-46.0313
Festivais Gastronomicos Diversos,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Sete Lagoas,-19.4569,-44.2413
Kerb Alto São Pedro,Evento / Festival;Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,SC,Ipira,-27.4038,-51.7758
Circuito Gastronômico Trem Bão,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,MG,Três Pontas,-21.3694,-45.5109
Festival De Cultura E Gastronomia De Poços De Caldas,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Anual,MG,Poços de Caldas,-21.78,-46.5692
Rota Do Cambuci,Evento / Festival;Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,SP,Osasco,-23.5324,-46.7916
Festival Gastronômico Pernambuco Bom De Mesa,Evento / Festival;Projeto de Qualificação;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Anual,PE,Recife,-8.046660000000001,-34.8771
Festival Gastronômico Pernambuco Bom De Mesa,Evento / Festival;Projeto de Qualificação;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Anual,PE,Fernando de Noronha,-3.8396,-32.4107
Festival Gastronômico Pernambuco Bom De Mesa,Evento / Festival;Projeto de Qualificação;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Anual,PE,Olinda,-8.01017,-34.8545
Festival Gastronômico Pernambuco Bom De Mesa,Evento / Festival;Projeto de Qualificação;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Anual,PE,Ipojuca,-8.39303,-35.0609
Festival Gastronômico Pernambuco Bom De Mesa,Evento / Festival;Projeto de Qualificação;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Anual,PE,Garanhuns,-8.882430000000001,-36.4966
Instituto Cultural Grünenwald,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Permanente,SC,Porto União,-26.2451,-51.0759
Festival Cultural Café E Arte,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Carmo da Mata,-20.5575,-44.8735
"Estação Gastronômica (Verão Gastronômico, Outono Gastronômico, Inverno Gastronômico, Primavera Gastronômica)",Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,PR,Carlópolis,-23.4269,-49.7235
"Estação Gastronômica (Verão Gastronômico, Outono Gastronômico, Inverno Gastronômico, Primavera Gastronômica)",Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,PR,Guarapuava,-25.3902,-51.4623
"Estação Gastronômica (Verão Gastronômico, Outono Gastronômico, Inverno Gastronômico, Primavera Gastronômica)",Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,PR,Assaí,-23.3697,-50.8459
"Estação Gastronômica (Verão Gastronômico, Outono Gastronômico, Inverno Gastronômico, Primavera Gastronômica)",Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,PR,Tamarana,-23.7204,-51.0991
"Estação Gastronômica (Verão Gastronômico, Outono Gastronômico, Inverno Gastronômico, Primavera Gastronômica)",Evento / Festival;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,PR,Laranjeiras do Sul,-25.4077,-52.4109
Ii Festival Gastronomico Aracruz Sabor - Trilhos Gastronomia E Cultura,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,Aracruz,-19.82,-40.2764
Ii Festival Gastronomico Aracruz Sabor - Trilhos Gastronomia E Cultura,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,Fundão,-19.937,-40.4078
Ii Festival Gastronomico Aracruz Sabor - Trilhos Gastronomia E Cultura,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,Ibiraçu,-19.8366,-40.3732
Ii Festival Gastronomico Aracruz Sabor - Trilhos Gastronomia E Cultura,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,João Neiva,-19.7577,-40.385999999999996
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,ES,Vitória,-20.3155,-40.3128
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,ES,Vila Velha,-20.3417,-40.2875
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,ES,Cariacica,-20.2632,-40.4165
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,ES,Guarapari,-20.6772,-40.5093
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,ES,Serra,-20.121,-40.3074
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,ES,Cachoeiro de Itapemirim,-20.8462,-41.1198
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,ES,Castelo,-20.6033,-41.2031
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,ES,Venda Nova do Imigrante,-20.327,-41.1355
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,ES,Santa Teresa,-19.9363,-40.5979
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,ES,Aracruz,-19.82,-40.2764
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,ES,Anchieta,-20.7955,-40.6425
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,ES,Marataízes,-21.0398,-40.8384
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,MG,Ipatinga,-19.4703,-42.5476
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,RJ,Rio de Janeiro,-22.9129,-43.2003
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,SP,São Paulo,-23.5329,-46.6395
Iii Festival Panela De Barro,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,CE,Fortaleza,-3.71664,-38.5423
3º Festival Ublues Beer Fest,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,Anchieta,-20.7955,-40.6425
Iii Festival Botecos De Castelo - Montanhas Capixabas - Sabor & Saberes,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,Castelo,-20.6033,-41.2031
Ii Festival Gastronômico Cultural Cozinha Das Montanhas - Montanhas Capixabas - Sabor & Sabores,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,Venda Nova do Imigrante,-20.327,-41.1355
Ii Festival Gastronômico Do Pastel & Caldo De Cana - Trilhos Sabor & Cultura,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,Ibiraçu,-19.8366,-40.3732
Ii Festival Gastronômico Do Pastel & Caldo De Cana - Trilhos Sabor & Cultura,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,João Neiva,-19.7577,-40.385999999999996
Ii Festival Gastronômico Do Pastel & Caldo De Cana - Trilhos Sabor & Cultura,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,Aracruz,-19.82,-40.2764
Ii Festival Gastronômico Do Pastel & Caldo De Cana - Trilhos Sabor & Cultura,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,Fundão,-19.937,-40.4078
Festival Gastronômico E Cultural Caparaó Capixaba - Sabor & Prosa,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,Dores do Rio Preto,-20.6931,-41.8405
Festival Gastronômico E Cultural Caparaó Capixaba - Sabor & Prosa,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,Ibitirama,-20.5466,-41.6667
Festival Gastronômico E Cultural Caparaó Capixaba - Sabor & Prosa,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,Divino de São Lourenço,-20.6229,-41.6937
Iv Festival Gastronomico E Cultural – Castelo Wine Beer,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,ES,Castelo,-20.6033,-41.2031
Brasil Foodsafaris,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Mensal,MS,Campo Grande,-20.4486,-54.6295
Festival Gastronômico Sabores Da Serra,Evento / Festival;Projeto de Qualificação;Projeto Social;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Bianual,PB,Areia,-6.96396,-35.6977
Prospectivas Para O Turismo Gastronômico No Brasil,Outros - Pesquisa ;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Anual,DF,,-15.83,-47.86
"Pelas Trilhas, Cores E Sabores De Urupema.",Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Outra,SC,Urupema,-27.9557,-49.8729
Feira Show Gastronomia E Negócios,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,RO,Porto Velho,-8.760769999999999,-63.8999
Gastronomia Relacionada Ao Patrimônio Cultural Imaterial Do Brasil,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Permanente,DF,,-15.83,-47.86
Ambrosia - Evento Gastronômico,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Internacional,Anual,PE,Igarassu,-7.828810000000001,-34.9013
Ambrosia - Evento Gastronômico,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Internacional,Anual,PE,Recife,-8.046660000000001,-34.8771
Ambrosia - Evento Gastronômico,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Internacional,Anual,PE,Abreu e Lima,-7.90072,-34.8984
Ambrosia - Evento Gastronômico,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Internacional,Anual,PE,Itapissuma,-7.7679800000000006,-34.8971
Ambrosia - Evento Gastronômico,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Internacional,Anual,PE,Jaboatão dos Guararapes,-8.11298,-35.015
Festival Do Cambuci De São Lourenço Da Serra (Rota Gastronômica Do Cambuci),Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,SP,São Lourenço da Serra,-23.8491,-46.9432
Festival De Cogumelos - Saberes E Sabores De São Lourenço Da Serra.,Evento / Festival;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Outra,SP,São Lourenço da Serra,-23.8491,-46.9432
Festival De Torresmo E Costela De Juiz De Fora,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,MG,Juiz de Fora,-21.7595,-43.3398
Empório Da Rainha,Evento / Festival;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Mensal,RS,Sapiranga,-29.6349,-51.0064
Cidade Criativa Da Gastronomia,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Outra,MG,Belo Horizonte,-19.9102,-43.9266
Influências Na Gastronomia Mineira,Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Federal / Nacional,Permanente,MG,Belo Horizonte,-19.9102,-43.9266
Sabores Da Pipa - Festival Gastronômico,Evento / Festival;Projeto de Qualificação;Projeto Social;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Anual,RN,Tibau do Sul,-6.1917599999999995,-35.0866
